"Sex","Frequency","FrequencyCDI1","Iconicity","IconicityCDI1","NeighborhoodDensity","NeighborhoodDensityCDI1","Sign","CaregiverHearingStatus","Age","EncryptedID","EncryptedParticipant","ComprehendsAndProduces","inCDI1"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_39","Participant_16",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",11,"ID_1","Participant_196",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_70","Participant_173",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_223","Participant_147",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",51,"ID_287","Participant_130",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",13,"ID_170","Participant_120",FALSE,"no"
"Non Binary",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",55,"ID_5","Participant_197",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",12,"ID_272","Participant_105",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",54,"ID_268","Participant_88",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",48,"ID_76","Participant_230",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",39,"ID_240","Participant_164",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_246","Participant_16",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_217","Participant_202",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_125","Participant_125",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_229","Participant_118",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_235","Participant_22",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",28,"ID_94","Participant_158",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_16","Participant_221",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_244","Participant_67",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_142","Participant_75",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",21,"ID_30","Participant_143",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_6","Participant_232",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_234","Participant_114",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_215","Participant_117",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_258","Participant_192",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_110","Participant_97",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_35","Participant_134",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_140","Participant_203",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_41","Participant_108",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_153","Participant_121",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_127","Participant_181",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",36,"ID_121","Participant_3",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",6,"ID_7","Participant_226",FALSE,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_74","Participant_137",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_86","Participant_16",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_60","Participant_147",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_52","Participant_66",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",37,"ID_159","Participant_164",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",33,"ID_25","Participant_179",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_34","Participant_156",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_112","Participant_122",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_90","Participant_82",FALSE,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",15,"ID_288","Participant_113",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",37,"ID_175","Participant_130",TRUE,"no"
"Other",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_166","Participant_167",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_79","Participant_24",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_10","Participant_78",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_64","Participant_48",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",28,"ID_40","Participant_193",TRUE,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_199","Participant_100",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_210","Participant_11",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_38","Participant_86",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",48,"ID_214","Participant_234",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_119","Participant_22",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_33","Participant_193",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_285","Participant_202",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",12,"ID_293","Participant_41",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_51","Participant_211",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_221","Participant_125",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",11,"ID_202","Participant_15",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_242","Participant_134",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_132","Participant_192",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",12,"ID_173","Participant_66",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",31,"ID_161","Participant_189",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_185","Participant_17",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_62","Participant_58",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",10,"ID_251","Participant_108",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_274","Participant_130",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",31,"ID_283","Participant_227",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",9,"ID_239","Participant_147",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",16,"ID_82","Participant_22",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_180","Participant_228",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",37,"ID_31","Participant_230",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",6,"ID_203","Participant_56",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",20,"ID_65","Participant_114",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_207","Participant_118",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",21,"ID_95","Participant_98",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_138","Participant_67",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_80","Participant_42",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",10,"ID_12","Participant_159",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_117","Participant_122",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",11,"ID_2","Participant_143",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_3","Participant_93",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",17,"ID_236","Participant_121",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_105","Participant_190",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_47","Participant_203",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_218","Participant_1",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",31,"ID_276","Participant_180",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_68","Participant_3",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_184","Participant_181",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_183","Participant_83",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",33,"ID_149","Participant_165",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_194","Participant_210",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",36,"ID_28","Participant_131",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_248","Participant_48",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_167","Participant_116",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_8","Participant_78",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_275","Participant_158",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_247","Participant_163",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_212","Participant_164",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",9,"ID_249","Participant_16",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",50,"ID_255","Participant_20",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_128","Participant_200",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_22","Participant_50",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_160","Participant_179",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",20,"ID_136","Participant_211",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",33,"ID_165","Participant_146",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",8,"ID_49","Participant_76",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",48,"ID_29","Participant_104",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_225","Participant_154",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",36,"ID_19","Participant_77",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",15,"ID_36","Participant_125",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",37,"ID_254","Participant_229",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",40,"ID_137","Participant_170",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_282","Participant_229",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_43","Participant_141",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_179","Participant_217",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",57,"ID_50","Participant_161",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",49,"ID_209","Participant_236",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_42","Participant_150",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",41,"ID_63","Participant_106",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_85","Participant_92",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",46,"ID_72","Participant_191",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",47,"ID_187","Participant_95",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",28,"ID_103","Participant_194",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_97","Participant_24",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",47,"ID_146","Participant_216",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_231","Participant_150",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",45,"ID_292","Participant_236",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",17,"ID_270","Participant_168",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",42,"ID_113","Participant_223",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",16,"ID_81","Participant_141",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",33,"ID_286","Participant_170",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",38,"ID_171","Participant_54",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",59,"ID_250","Participant_207",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",47,"ID_143","Participant_148",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",25,"ID_213","Participant_233",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",59,"ID_32","Participant_220",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",56,"ID_193","Participant_72",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",59,"ID_208","Participant_140",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_164","Participant_214",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",9,"ID_78","Participant_141",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_197","Participant_102",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_39","Participant_16",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",11,"ID_1","Participant_196",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",23,"ID_70","Participant_173",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",32,"ID_223","Participant_147",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",13,"ID_170","Participant_120",FALSE,"no"
"Non Binary",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",55,"ID_5","Participant_197",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",12,"ID_272","Participant_105",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",54,"ID_268","Participant_88",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",48,"ID_76","Participant_230",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",39,"ID_240","Participant_164",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",22,"ID_246","Participant_16",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",24,"ID_217","Participant_202",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",30,"ID_125","Participant_125",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_229","Participant_118",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",26,"ID_235","Participant_22",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",28,"ID_94","Participant_158",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",18,"ID_16","Participant_221",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_244","Participant_67",TRUE,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_142","Participant_75",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",21,"ID_30","Participant_143",NA,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",18,"ID_6","Participant_232",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",29,"ID_234","Participant_114",TRUE,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",19,"ID_215","Participant_117",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",30,"ID_258","Participant_192",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",27,"ID_110","Participant_97",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",29,"ID_35","Participant_134",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_140","Participant_203",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",18,"ID_41","Participant_108",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",26,"ID_153","Participant_121",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",35,"ID_127","Participant_181",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",36,"ID_121","Participant_3",NA,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",6,"ID_7","Participant_226",FALSE,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",23,"ID_74","Participant_137",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",19,"ID_86","Participant_16",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",18,"ID_60","Participant_147",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",19,"ID_52","Participant_66",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",33,"ID_25","Participant_179",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",30,"ID_34","Participant_156",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",34,"ID_112","Participant_122",FALSE,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",15,"ID_288","Participant_113",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",37,"ID_175","Participant_130",TRUE,"no"
"Other",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",27,"ID_166","Participant_167",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",34,"ID_79","Participant_24",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",27,"ID_10","Participant_78",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",28,"ID_40","Participant_193",TRUE,"no"
"",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",32,"ID_199","Participant_100",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_210","Participant_11",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",22,"ID_38","Participant_86",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",48,"ID_214","Participant_234",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",22,"ID_119","Participant_22",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",26,"ID_216","Participant_144",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_33","Participant_193",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",19,"ID_285","Participant_202",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",12,"ID_293","Participant_41",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_51","Participant_211",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",23,"ID_221","Participant_125",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",11,"ID_202","Participant_15",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",22,"ID_242","Participant_134",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",23,"ID_132","Participant_192",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",12,"ID_173","Participant_66",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",31,"ID_161","Participant_189",TRUE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",29,"ID_62","Participant_58",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",43,"ID_267","Participant_162",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",10,"ID_251","Participant_108",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",29,"ID_274","Participant_130",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",31,"ID_283","Participant_227",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",9,"ID_239","Participant_147",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",16,"ID_82","Participant_22",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",30,"ID_180","Participant_228",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",6,"ID_203","Participant_56",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",20,"ID_65","Participant_114",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",24,"ID_207","Participant_118",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",21,"ID_95","Participant_98",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_138","Participant_67",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",22,"ID_80","Participant_42",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",10,"ID_12","Participant_159",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_117","Participant_122",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",11,"ID_2","Participant_143",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_3","Participant_93",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",17,"ID_236","Participant_121",TRUE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_105","Participant_190",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",26,"ID_47","Participant_203",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",9,"ID_186","Participant_82",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",24,"ID_218","Participant_1",NA,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",31,"ID_276","Participant_180",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",27,"ID_68","Participant_3",FALSE,"no"
"Male",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",25,"ID_184","Participant_181",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",27,"ID_183","Participant_83",NA,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",33,"ID_149","Participant_165",FALSE,"no"
"Female",0.125,NA,1.062,NA,0,NA,"away","Deaf Caregivers",36,"ID_28","Participant_131",NA,"no"
